Commune;Population_totale
Cagnano;153.0
San-Gavino-di-Tenda;58.0
Talasani;827.0
Venzolasca;1808.0
Sorbo-Ocagnano;892.0
Erone;12.0
Aregno;595.0
Castellare-di-Casinca;706.0
Morsiglia;105.0
Novella;79.0
Croce;81.0
Rapaggio;28.0
Quercitello;38.0
Pie-d'Orezza;38.0
Cervione;2172.0
San-Lorenzo;139.0
Polveroso;38.0
Occhiatana;255.0
Piazzole;47.0
Poggio-d'Oletta;215.0
Bigorno;90.0
Loreto-di-Casinca;206.0
Nessa;119.0
Vignale;217.0
Sant'Antonino;138.0
Borgo;9679.0
Valle-di-Rostino;155.0
Castirla;149.0
Velone-Orneto;111.0
Urtaca;248.0
Canavaggia;116.0
Olcani;93.0
Poggio-di-Venaco;210.0
Soveria;116.0
Antisanti;569.0
Pero-Casevecchie;113.0
Santo-Pietro-di-Venaco;290.0
Felce;50.0
Matra;49.0
Corscia;127.0
Mausoleo;25.0
Cateri;249.0
Zuani;36.0
Lucciana;6091.0
Novale;60.0
Piedicroce;81.0
Aiti;27.0
Casalta;53.0
Farinole;236.0
Vallica;28.0
La Porta;191.0
Rospigliani;69.0
Serriera;118.0
Villanova;396.0
Albitreccia;1775.0
Olmeto;1241.0
Partinello;95.0
Viggianello;871.0
Ajaccio;73821.0
Murzo;100.0
Porto-Vecchio;11229.0
Sartene;3571.0
Carbini;114.0
Ambiegna;77.0
Pianottoli-Caldarello;851.0
Zicavo;215.0
Palneca;134.0
Campo;104.0
Soccia;157.0
Tolla;121.0
Guagno;154.0
Renno;63.0
Sarrola-Carcopino;3278.0
Olivese;219.0
Tasso;88.0
Vero;617.0
Ghisoni;205.0
Corte;7654.0
Albertacce;202.0
Cuttoli-Corticchiato;2030.0
Arbellara;155.0
Rogliano;541.0
Barbaggio;320.0
Muracciole;34.0
Lumio;1214.0
Algajola;363.0
Furiani;6032.0
Sisco;1162.0
San-Nicolao;2033.0
Valle-di-Campoloro;347.0
L'ile-Rousse;3220.0
Valle-d'Alesani;112.0
Corbara;922.0
Lozzi;110.0
Moltifao;714.0
Pietroso;348.0
Speloncato;269.0
Scata;42.0
Santa-Lucia-di-Mercurio;116.0
Carpineto;36.0
Pietralba;500.0
Focicchia;31.0
Ortiporio;121.0
Campile;185.0
Olmi-Cappella;184.0
Ville-di-Paraso;208.0
Olmo;143.0
Sant'Andrea-di-Cotone;202.0
Sermano;74.0
Cambia;69.0
Bisinchi;213.0
Prunelli-di-Casacconi;148.0
Volpajola;347.0
Casevecchie;72.0
Osani;97.0
Venaco;666.0
Appietto;1773.0
Cargèse;1237.0
Bonifacio;3200.0
Olmiccia;117.0
Frasseto;141.0
Cognocoli-Monticchi;175.0
Pila-Canale;277.0
Cozzano;279.0
Peri;2040.0
Granace;93.0
Cauro;1481.0
Bilia;53.0
Ocana;630.0
Bastelica;510.0
Urbalacone;62.0
Azzana;51.0
Loreto-di-Tallano;51.0
Barrettali;146.0
Pietracorbara;653.0
Montegrosso;420.0
Ersa;136.0
Saliceto;45.0
Prato-di-Giovellina;49.0
Ampriani;24.0
Ortale;26.0
Ville-di-Pietrabugno;3231.0
Perelli;109.0
San-Giuliano;765.0
Pietricaggio;33.0
Castellare-di-Mercurio;28.0
Lavatoggio;152.0
Aleria;2211.0
Alando;26.0
Murato;567.0
Pruno;178.0
Silvareccio;104.0
Moita;63.0
Piobetta;17.0
Altiani;54.0
Lento;111.0
Penta-di-Casinca;3375.0
Piano;19.0
Parata;25.0
Poggio-Mezzana;761.0
Ogliastro;92.0
Rusio;61.0
Vezzani;268.0
Lugo-di-Nazza;84.0
Olmeta-di-Capocorso;131.0
Porri;43.0
Pancheraccia;197.0
Noceta;63.0
Omessa;601.0
Carticasi;25.0
Zalana;148.0
Muro;253.0
Casabianca;118.0
Castineta;37.0
Tarrano;16.0
Zilia;306.0
Mazzola;27.0
Calacuccia;270.0
Casanova;385.0
Chiatra;218.0
Santa-Reparata-di-Balagna;1004.0
Castiglione;41.0
Sari-Solenzara;1429.0
Argiusta-Moriccio;77.0
Vico;968.0
Casaglione;447.0
Alata;3587.0
Bastelicaccia;4250.0
Bocognano;366.0
Corrano;74.0
Afa;3337.0
Petreto-Bicchisano;561.0
Tavaco;402.0
Sari-d'Orcino;352.0
Zérubia;46.0
Letia;131.0
Figari;1650.0
Vivario;428.0
Levie;675.0
Quasquara;56.0
Cargiaca;62.0
Serra-di-Scopamène;100.0
Casamaccioli;112.0
Guarguale;152.0
Campi;19.0
Taglio-Isolaccio;594.0
Canari;315.0
Centuri;181.0
Palasca;188.0
Saint-Florent;1689.0
Stazzona;34.0
Bustanico;66.0
Santo-Pietro-di-Tenda;338.0
Tallone;282.0
Vescovato;3212.0
Penta-Acquatella;40.0
Calvi;5745.0
Pietraserena;58.0
Piedipartino;16.0
Pigna;116.0
Meria;79.0
Campitello;111.0
Brando;1580.0
Favalello;68.0
Prunelli-di-Fiumorbo;3737.0
Giocatojo;55.0
Oletta;1800.0
Giuncaggio;72.0
Scolca;87.0
Nocario;76.0
Biguglia;7653.0
Rutali;467.0
Poggio-Marinaccio;33.0
Tox;98.0
Rapale;162.0
Lano;22.0
Olmeta-di-Tuda;543.0
Avapessa;81.0
Pietra-di-Verde;100.0
Monacia-d'Orezza;23.0
Lama;150.0
Alzi;25.0
Riventosa;152.0
Valle-d'Orezza;27.0
Piedigriggio;143.0
Moncale;340.0
Costa;50.0
Coggia;765.0
Conca;1159.0
Pietrosella;1968.0
Azilone-Ampaza;198.0
Grossa;63.0
Ciamannacce;131.0
Ota;491.0
Propriano;3741.0
Ucciani;502.0
Arro;79.0
Sorbollano;69.0
Isolaccio-di-Fiumorbo;324.0
Zevaco;51.0
Sotta;1711.0
San-Gavino-di-Fiumorbo;99.0
Fozzano;208.0
Marignana;104.0
Valle-di-Mezzana;538.0
Sant'Andrea-d'Orcino;133.0
Altagene;55.0
Evisa;218.0
Poggio-di-Nazza;183.0
Cristinacce;68.0
Carbuccia;373.0
Cardo-Torgia;30.0
Casalabriva;224.0
Giuncheto;96.0
Pastricciola;94.0
Rosazia;52.0
Sainte-Lucie-de-Tallano;382.0
Tavera;413.0
Forciolo;87.0
Guitera-les-Bains;155.0
Mela;31.0
Zigliara;128.0
Poggiolo;112.0
Linguizzetta;1103.0
Patrimonio;877.0
Luri;852.0
Nonza;68.0
Pino;162.0
Ghisonaccia;4249.0
Sant'Andrea-di-Bozio;61.0
Belgodere;707.0
San-Martino-di-Lota;2936.0
Santa-Lucia-di-Moriani;1523.0
Santa-Maria-di-Lota;1966.0
San-Gavino-d'Ampugnani;105.0
Campana;21.0
Monte;629.0
Carcheto-Brustico;48.0
Verdese;43.0
Sorio;140.0
Asco;115.0
Castifao;137.0
Crocicchia;80.0
Monticello;2029.0
Ficaja;58.0
Bastia;48768.0
Pieve;114.0
Gavignano;59.0
Pioggiola;86.0
San-Giovanni-di-Moriani;93.0
Morosaglia;963.0
Santa-Maria-Poggio;792.0
Piazzali;19.0
Feliceto;236.0
Canale-di-Verde;307.0
San-Damiano;53.0
Erbajolo;100.0
Vallecalle;155.0
Santa-Reparata-di-Moriani;57.0
Tomino;181.0
Castello-di-Rostino;504.0
Popolasca;42.0
Calenzana;2567.0
Piedicorte-di-Gaggio;104.0
Tralonca;111.0
Aghione;233.0
Pianello;57.0
Grosseto-Prugna;3349.0
Lecci;1939.0
Monacia-d'Aullène;554.0
Serra-di-Ferro;636.0
Solaro;732.0
Serra-di-Fiumorbo;333.0
Sollacaro;369.0
Galeria;379.0
Piana;462.0
Santa-Maria-Figaniella;93.0
Manso;118.0
Belvedere-Campomoro;177.0
Foce;151.0
Balogna;145.0
Salice;88.0
Arbori;52.0
Aullene;184.0
Zoza;66.0
Lopigna;106.0
Coti-Chiavari;724.0
San-Gavino-di-Carbini;1120.0
Eccica-Suarella;1357.0
Moca-Croce;247.0
Chisa;108.0
Calcatoggio;507.0
Rezza;67.0
Orto;59.0
Ventiseri;2556.0
Santa-Maria-Siche;379.0
Zonza;2748.0
Sampolo;83.0
Quenza;190.0
Cannelle;75.0